2025-11-12 13:03:00.717377, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.717851, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.733518, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.749209, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.749666, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.765253, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.781231, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.781590, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.797324, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.813218, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.813565, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.829230, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.845293, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.861474, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.862212, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.877478, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.893350, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.893755, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.909246, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.925437, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.925878, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.941470, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.957312, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.957640, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.973533, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.989434, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:00.989776, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.005520, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.021601, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.037737, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.038886, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.053471, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.069483, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.069928, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.085773, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.101638, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.102247, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.117792, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.134189, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.135184, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.149590, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.165615, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.167223, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.181633, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.197839, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.213478, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.213861, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.229437, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.246068, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.246810, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.261532, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.277595, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.277994, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.293704, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.309515, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.309894, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.325775, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.341573, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.357573, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.357925, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.373773, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.392333, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.399002, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.405702, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.421751, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.422117, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.437598, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.453580, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.453923, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.469592, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.485774, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.486177, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.501710, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.517841, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.518237, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.533900, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.549699, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.565663, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.566056, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.581518, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.597684, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.598108, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.613539, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.629636, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.629896, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.645544, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.662125, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.662400, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.677697, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.693650, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.693873, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.709700, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.725755, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.741859, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.742235, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.757699, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.773696, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.773944, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.789882, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.805926, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.806320, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.821737, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.837956, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.838351, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.853765, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.869929, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.885772, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.886002, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.901852, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.918067, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.918441, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.934026, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.950091, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.950423, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.965955, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.981861, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.982128, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:01.997966, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.014090, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.014380, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.030069, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.045912, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.046191, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.062030, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.078028, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.093967, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.094264, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.110102, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.126037, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.126332, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.142044, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.158100, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.158416, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.174114, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.190021, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.190218, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.206079, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.222149, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.238274, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.238504, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.254078, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.270076, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.270441, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.286055, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.302098, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.302373, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.318032, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.334165, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.334503, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.350050, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.366225, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.366524, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.382139, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.398224, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.414274, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.414589, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.430203, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.446207, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.446519, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.462255, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.478388, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.478647, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.494240, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.510476, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.510851, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.526315, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.542400, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.542783, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.558281, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.574365, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.590310, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.590562, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.606379, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.622333, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.622647, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.638455, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.654241, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.654514, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.670475, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.686255, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.686529, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.702441, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.718402, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.718653, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.734433, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.750383, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.766460, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.766797, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.782343, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.798449, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.798825, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.814314, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.830459, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.830785, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.846361, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.862464, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.862791, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.878430, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.894441, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.894703, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.910481, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.926542, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.942502, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.942854, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.958538, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.974685, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.975169, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:02.990538, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.006535, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.006942, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.022610, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.038553, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.038910, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.054540, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.070594, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.070972, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.086594, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.102611, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.118628, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.118894, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.134654, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.150666, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.150934, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.166613, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.182720, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.182920, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.198667, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.214846, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.215259, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.230664, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.246613, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.246895, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.262690, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.278675, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.294669, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.294947, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.310731, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.326698, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.326970, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.342900, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.358703, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.358943, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.374814, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.390702, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.390901, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.406801, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.422699, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.422887, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.438814, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.454808, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.470838, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.471100, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.486841, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.502994, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.503396, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.518947, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.535033, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.535502, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.550782, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.566990, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.567363, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.582923, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.599020, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.599366, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.615042, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.631030, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.647057, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.647377, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.663087, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.678978, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.679270, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.695042, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.711047, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.711352, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.726915, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.743060, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.743374, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.759089, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.775035, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.775355, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.790987, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.807110, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.823010, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.823325, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.839188, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.855224, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.856043, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.871035, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.887104, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.887410, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.903160, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.919063, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.919278, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.935326, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.951162, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.951477, axes: 0.000 0.000, buttons: 
2025-11-12 13:03:03.967289, axes: 0.000 0.000, buttons: 
